codigo;periodo;demanda;custo_deficit
1;1;984.4781375;4000
1;2;933.293265;4000
1;3;899.5456349;4000
1;4;884.6873873;4000
1;5;880.3309808;4000
1;6;887.3941676;4000
1;7;886.3834801;4000
1;8;924.4178125;4000
1;9;958.9437843;4000
1;10;992.9469894;4000
1;11;1013.137479;4000
1;12;1027.043131;4000
1;13;1026.136996;4000
1;14;1020.920925;4000
1;15;1013.288502;4000
1;16;1015.275024;4000
1;17;1023.116556;4000
1;18;1045.7234;4000
1;19;1106.190321;4000
1;20;1113.996999;4000
1;21;1086.208937;4000
1;22;1049.243376;4000
1;23;1000.196049;4000
1;24;955.3773412;4000
1;25;936.0581316;4000
1;26;894.4573546;4000
1;27;861.4067521;4000
1;28;836.8017677;4000
1;29;825.9281775;4000
1;30;818.7488199;4000
1;31;803.1819283;4000
1;32;810.8375858;4000
1;33;838.2771385;4000
1;34;862.6846309;4000
1;35;888.2886837;4000
1;36;907.9215537;4000
1;37;911.9991501;4000
1;38;908.2119814;4000
1;39;911.3602104;4000
1;40;928.7742198;4000
1;41;953.8206517;4000
1;42;997.9655707;4000
1;43;1075.96267;4000
1;44;1085.872042;4000
1;45;1068.458032;4000
1;46;1047.326556;4000
1;47;1011.74343;4000
1;48;961.2439702;4000
1;49;890.960613;4000
1;50;851.9852966;4000
1;51;829.4946229;4000
1;52;817.4709412;4000
1;53;822.8264157;4000
1;54;854.5875236;4000
1;55;908.4907909;4000
1;56;962.6844872;4000
1;57;1022.744809;4000
1;58;1063.276815;4000
1;59;1101.171741;4000
1;60;1120.909167;4000
1;61;1113.753042;4000
1;62;1136.83619;4000
1;63;1157.595914;4000
1;64;1160.395633;4000
1;65;1163.102414;4000
1;66;1127.06622;4000
1;67;1144.166567;4000
1;68;1158.734388;4000
1;69;1144.364059;4000
1;70;1125.881278;4000
1;71;1086.127618;4000
1;72;1021.687653;4000
1;73;1023.685792;4000
1;74;974.0576109;4000
1;75;939.28768;4000
1;76;921.2928181;4000
1;77;919.4340846;4000
1;78;936.0581316;4000
1;79;972.3847514;4000
1;80;1029.807996;4000
1;81;1107.956115;4000
1;82;1151.822227;4000
1;83;1192.087037;4000
1;84;1215.054014;4000
1;85;1212.579572;4000
1;86;1250.764928;4000
1;87;1284.140809;4000
1;88;1289.252329;4000
1;89;1283.025566;4000
1;90;1209.872792;4000
1;91;1217.865344;4000
1;92;1223.406697;4000
1;93;1217.77241;4000
1;94;1214.705499;4000
1;95;1176.810574;4000
1;96;1117.57506;4000
1;97;1039.043574;4000
1;98;988.6021996;4000
1;99;954.7500178;4000
1;100;938.1840561;4000
1;101;936.5228143;4000
1;102;961.9990794;4000
1;103;997.2336944;4000
1;104;1062.091869;4000
1;105;1135.709332;4000
1;106;1184.94253;4000
1;107;1228.355571;4000
1;108;1244.933154;4000
1;109;1238.137158;4000
1;110;1267.052078;4000
1;111;1287.091548;4000
1;112;1286.859207;4000
1;113;1263.717975;4000
1;114;1199.963418;4000
1;115;1214.810054;4000
1;116;1223.488017;4000
1;117;1218.097689;4000
1;118;1208.211548;4000
1;119;1163.91561;4000
1;120;1098.464959;4000
1;121;1040.925546;4000
1;122;985.7443957;4000
1;123;957.8169282;4000
1;124;934.687314;4000
1;125;936.2091535;4000
1;126;957.7704602;4000
1;127;989.0901188;4000
1;128;1057.491505;4000
1;129;1127.321796;4000
1;130;1180.214378;4000
1;131;1217.574921;4000
1;132;1227.972209;4000
1;133;1217.609769;4000
1;134;1243.678509;4000
1;135;1264.54279;4000
1;136;1271.048355;4000
1;137;1253.402006;4000
1;138;1198.685543;4000
1;139;1204.993617;4000
1;140;1219.863485;4000
1;141;1212.951318;4000
1;142;1209.721769;4000
1;143;1162.347302;4000
1;144;1098.964495;4000
1;145;1025.649079;4000
1;146;973.4186709;4000
1;147;942.2848884;4000
1;148;921.6761809;4000
1;149;926.6250577;4000
1;150;945.6306086;4000
1;151;984.5362205;4000
1;152;1054.471065;4000
1;153;1127.112689;4000
1;154;1174.173492;4000
1;155;1203.320756;4000
1;156;1211.23199;4000
1;157;1195.374671;4000
1;158;1222.721283;4000
1;159;1240.611597;4000
1;160;1244.480086;4000
1;161;1214.078177;4000
1;162;1149.371021;4000
1;163;1159.05967;4000
1;164;1177.01968;4000
1;165;1166.575921;4000
1;166;1153.320829;4000
1;167;1122.303216;4000
1;168;1072.744736;4000
