PERIODO;HORAS;DATA
1;1;01/01/2025 00:00
2;1;01/01/2025 01:00
3;1;01/01/2025 02:00
4;1;01/01/2025 03:00
5;1;01/01/2025 04:00
6;1;01/01/2025 05:00
7;1;01/01/2025 06:00
8;1;01/01/2025 07:00
9;1;01/01/2025 08:00
10;1;01/01/2025 09:00
11;1;01/01/2025 10:00
12;1;01/01/2025 11:00
13;1;01/01/2025 12:00
14;1;01/01/2025 13:00
15;1;01/01/2025 14:00
16;1;01/01/2025 15:00
17;1;01/01/2025 16:00
18;1;01/01/2025 17:00
19;1;01/01/2025 18:00
20;1;01/01/2025 19:00
21;1;01/01/2025 20:00
22;1;01/01/2025 21:00
23;1;01/01/2025 22:00
24;1;01/01/2025 23:00
25;1;02/01/2025 00:00
26;1;02/01/2025 01:00
27;1;02/01/2025 02:00
28;1;02/01/2025 03:00
29;1;02/01/2025 04:00
30;1;02/01/2025 05:00
31;1;02/01/2025 06:00
32;1;02/01/2025 07:00
33;1;02/01/2025 08:00
34;1;02/01/2025 09:00
35;1;02/01/2025 10:00
36;1;02/01/2025 11:00
37;1;02/01/2025 12:00
38;1;02/01/2025 13:00
39;1;02/01/2025 14:00
40;1;02/01/2025 15:00
41;1;02/01/2025 16:00
42;1;02/01/2025 17:00
43;1;02/01/2025 18:00
44;1;02/01/2025 19:00
45;1;02/01/2025 20:00
46;1;02/01/2025 21:00
47;1;02/01/2025 22:00
48;1;02/01/2025 23:00
49;1;03/01/2025 00:00
50;1;03/01/2025 01:00
51;1;03/01/2025 02:00
52;1;03/01/2025 03:00
53;1;03/01/2025 04:00
54;1;03/01/2025 05:00
55;1;03/01/2025 06:00
56;1;03/01/2025 07:00
57;1;03/01/2025 08:00
58;1;03/01/2025 09:00
59;1;03/01/2025 10:00
60;1;03/01/2025 11:00
61;1;03/01/2025 12:00
62;1;03/01/2025 13:00
63;1;03/01/2025 14:00
64;1;03/01/2025 15:00
65;1;03/01/2025 16:00
66;1;03/01/2025 17:00
67;1;03/01/2025 18:00
68;1;03/01/2025 19:00
69;1;03/01/2025 20:00
70;1;03/01/2025 21:00
71;1;03/01/2025 22:00
72;1;03/01/2025 23:00
73;1;04/01/2025 00:00
74;1;04/01/2025 01:00
75;1;04/01/2025 02:00
76;1;04/01/2025 03:00
77;1;04/01/2025 04:00
78;1;04/01/2025 05:00
79;1;04/01/2025 06:00
80;1;04/01/2025 07:00
81;1;04/01/2025 08:00
82;1;04/01/2025 09:00
83;1;04/01/2025 10:00
84;1;04/01/2025 11:00
85;1;04/01/2025 12:00
86;1;04/01/2025 13:00
87;1;04/01/2025 14:00
88;1;04/01/2025 15:00
89;1;04/01/2025 16:00
90;1;04/01/2025 17:00
91;1;04/01/2025 18:00
92;1;04/01/2025 19:00
93;1;04/01/2025 20:00
94;1;04/01/2025 21:00
95;1;04/01/2025 22:00
96;1;04/01/2025 23:00
97;1;05/01/2025 00:00
98;1;05/01/2025 01:00
99;1;05/01/2025 02:00
100;1;05/01/2025 03:00
101;1;05/01/2025 04:00
102;1;05/01/2025 05:00
103;1;05/01/2025 06:00
104;1;05/01/2025 07:00
105;1;05/01/2025 08:00
106;1;05/01/2025 09:00
107;1;05/01/2025 10:00
108;1;05/01/2025 11:00
109;1;05/01/2025 12:00
110;1;05/01/2025 13:00
111;1;05/01/2025 14:00
112;1;05/01/2025 15:00
113;1;05/01/2025 16:00
114;1;05/01/2025 17:00
115;1;05/01/2025 18:00
116;1;05/01/2025 19:00
117;1;05/01/2025 20:00
118;1;05/01/2025 21:00
119;1;05/01/2025 22:00
120;1;05/01/2025 23:00
121;1;06/01/2025 00:00
122;1;06/01/2025 01:00
123;1;06/01/2025 02:00
124;1;06/01/2025 03:00
125;1;06/01/2025 04:00
126;1;06/01/2025 05:00
127;1;06/01/2025 06:00
128;1;06/01/2025 07:00
129;1;06/01/2025 08:00
130;1;06/01/2025 09:00
131;1;06/01/2025 10:00
132;1;06/01/2025 11:00
133;1;06/01/2025 12:00
134;1;06/01/2025 13:00
135;1;06/01/2025 14:00
136;1;06/01/2025 15:00
137;1;06/01/2025 16:00
138;1;06/01/2025 17:00
139;1;06/01/2025 18:00
140;1;06/01/2025 19:00
141;1;06/01/2025 20:00
142;1;06/01/2025 21:00
143;1;06/01/2025 22:00
144;1;06/01/2025 23:00
145;1;07/01/2025 00:00
146;1;07/01/2025 01:00
147;1;07/01/2025 02:00
148;1;07/01/2025 03:00
149;1;07/01/2025 04:00
150;1;07/01/2025 05:00
151;1;07/01/2025 06:00
152;1;07/01/2025 07:00
153;1;07/01/2025 08:00
154;1;07/01/2025 09:00
155;1;07/01/2025 10:00
156;1;07/01/2025 11:00
157;1;07/01/2025 12:00
158;1;07/01/2025 13:00
159;1;07/01/2025 14:00
160;1;07/01/2025 15:00
161;1;07/01/2025 16:00
162;1;07/01/2025 17:00
163;1;07/01/2025 18:00
164;1;07/01/2025 19:00
165;1;07/01/2025 20:00
166;1;07/01/2025 21:00
167;1;07/01/2025 22:00
168;1;07/01/2025 23:00
